customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,FM_score,Segment
10092,5,4,3945.87,5,3,3,3,Potential Loyalist
10093,84,4,2763.34,3,3,3,3,Needs Attention
10094,32,5,10693.72,4,3,5,4,Champions
10095,38,6,3204.42,4,4,3,4,Champions
10096,290,1,342.95000000000005,2,1,1,1,About To Sleep
10097,107,3,2693.37,3,2,3,2,Promising
10098,229,2,765.48,2,1,2,2,About To Sleep
10099,56,4,3515.88,4,3,3,3,Potential Loyalist
10100,196,2,1139.93,2,1,2,2,About To Sleep
10101,34,8,9231.84,4,5,5,5,Champions
10102,51,4,2708.85,4,3,3,3,Potential Loyalist
10103,22,6,4723.360000000001,5,4,4,4,Champions
10104,63,7,9616.74,4,4,5,4,Champions
10105,47,3,2843.3900000000003,4,2,3,2,Recent Users
10106,131,5,6939.8,3,3,5,4,Loyal Customers
10107,4,3,617.95,5,2,1,2,Recent Users
10108,31,4,2505.8900000000003,5,3,3,3,Potential Loyalist
10109,88,3,3176.33,3,2,3,2,Promising
10110,251,2,4089.91,2,1,4,2,About To Sleep
10111,40,6,4306.84,4,4,4,4,Champions
10112,6,8,8456.76,5,5,5,5,Champions
10113,3,8,6369.22,5,5,5,5,Champions
10114,118,3,2267.38,3,2,3,2,Promising
10115,146,4,5778.860000000001,3,3,4,4,Loyal Customers
10116,6,7,6300.200000000001,5,4,4,4,Champions
10117,269,2,3361.88,2,1,3,2,About To Sleep
10118,123,5,4805.39,3,3,4,4,Loyal Customers
10119,3,5,3418.82,5,3,3,3,Potential Loyalist
10120,100,4,4972.39,3,3,4,4,Loyal Customers
10121,252,3,3634.8500000000004,2,2,3,2,About To Sleep
10122,99,6,8765.78,3,4,5,4,Loyal Customers
10123,53,3,1507.33,4,2,2,2,Recent Users
10124,32,2,1844.93,4,1,2,2,Recent Users
10125,91,3,1101.91,3,2,2,2,Promising
10126,19,2,2737.93,5,1,3,2,Recent Users
10127,215,3,3949.33,2,2,3,2,About To Sleep
10128,61,3,5845.84,4,2,4,3,Potential Loyalist
10129,42,4,3391.32,4,3,3,3,Potential Loyalist
10130,88,1,770.9200000000001,3,1,2,2,Promising
10131,8,6,5032.88,5,4,4,4,Champions
10132,8,4,2889.44,5,3,3,3,Potential Loyalist
10133,17,2,4236.97,5,1,4,2,Recent Users
10134,46,2,1949.8700000000001,4,1,2,2,Recent Users
10135,50,6,6574.24,4,4,5,4,Champions
10136,127,5,3922.34,3,3,3,3,Needs Attention
10137,27,5,3683.8500000000004,5,3,3,3,Potential Loyalist
10138,30,3,3691.92,5,2,3,2,Recent Users
10139,20,7,6917.76,5,4,5,4,Champions
10140,26,6,8707.23,5,4,5,4,Champions
10141,22,4,4208.38,5,3,4,4,Champions
10142,105,2,681.47,3,1,2,2,Promising
10143,254,3,3648.35,2,2,3,2,About To Sleep
10144,112,6,6122.71,3,4,4,4,Loyal Customers
10145,102,1,481.95000000000005,3,1,1,1,Promising
10146,22,7,10116.83,5,4,5,4,Champions
10147,7,5,5928.81,5,3,4,4,Champions
10148,151,3,2740.88,3,2,3,2,Promising
10149,107,4,4427.360000000001,3,3,4,4,Loyal Customers
10150,139,6,9311.77,3,4,5,4,Loyal Customers
10151,241,2,1814.95,2,1,2,2,About To Sleep
10152,19,4,1110.4,5,3,2,2,Recent Users
10153,74,3,5597.96,4,2,4,3,Potential Loyalist
10154,139,4,4040.87,3,3,4,4,Loyal Customers
10155,89,5,4288.88,3,3,4,4,Loyal Customers
10156,25,8,6012.27,5,5,4,4,Champions
10157,64,2,794.97,4,1,2,2,Recent Users
10158,207,4,7654.3,2,3,5,4,Can't Lose Them
10159,116,3,2725.85,3,2,3,2,Promising
10160,39,5,8374.7,4,3,5,4,Champions
10161,32,5,4706.860000000001,4,3,4,4,Champions
10162,31,4,3306.32,5,3,3,3,Potential Loyalist
10163,138,5,2747.27,3,3,3,3,Needs Attention
10164,58,4,3300.88,4,3,3,3,Potential Loyalist
10165,11,1,701.98,5,1,2,2,Recent Users
10166,200,3,3422.95,2,2,3,2,About To Sleep
10167,51,3,625.4100000000001,4,2,1,2,Recent Users
10168,44,9,12996.220000000001,4,5,5,5,Champions
10169,175,3,3869.87,3,2,3,2,Promising
10170,100,2,1819.4,3,1,2,2,Promising
10172,7,5,6301.85,5,3,4,4,Champions
10173,28,5,12240.64,5,3,5,4,Champions
10174,90,6,5548.83,3,4,4,4,Loyal Customers
10175,13,6,5086.14,5,4,4,4,Champions
10176,10,6,8589.69,5,4,5,4,Champions
10177,269,1,345.98,2,1,1,1,About To Sleep
10178,12,2,1582.49,5,1,2,2,Recent Users
10179,120,3,2604.41,3,2,3,2,Promising
10180,186,5,3655.84,3,3,3,3,Needs Attention
10181,207,2,885.9100000000001,2,1,2,2,About To Sleep
10182,41,6,4505.29,4,4,4,4,Champions
10183,66,5,7526.46,4,3,5,4,Champions
10184,11,3,2341.94,5,2,3,2,Recent Users
10185,29,9,6927.2300000000005,5,5,5,5,Champions
10186,82,6,11360.220000000001,3,4,5,4,Loyal Customers
10187,123,5,12395.29,3,3,5,4,Loyal Customers
10188,26,6,9039.81,5,4,5,4,Champions
10189,273,3,3581.9700000000003,2,2,3,2,About To Sleep
10190,96,5,5003.31,3,3,4,4,Loyal Customers
10191,166,5,3851.33,3,3,3,3,Needs Attention
10192,11,4,4122.860000000001,5,3,4,4,Champions
10193,72,3,2385.4300000000003,4,2,3,2,Recent Users
10194,118,4,4839.94,3,3,4,4,Loyal Customers
10195,112,5,3308.25,3,3,3,3,Needs Attention
10196,38,4,5335.8,4,3,4,4,Champions
10197,66,5,4754.81,4,3,4,4,Champions
10198,120,4,4556.33,3,3,4,4,Loyal Customers
10199,58,4,7131.33,4,3,5,4,Champions
10200,117,4,4796.3,3,3,4,4,Loyal Customers
10201,56,2,1754.99,4,1,2,2,Recent Users
10202,48,3,3546.46,4,2,3,2,Recent Users
10203,8,4,2791.42,5,3,3,3,Potential Loyalist
10204,136,3,1528.88,3,2,2,2,Promising
10205,15,5,3004.33,5,3,3,3,Potential Loyalist
10206,123,5,7809.66,3,3,5,4,Loyal Customers
10207,40,5,7880.14,4,3,5,4,Champions
10208,200,3,1572.49,2,2,2,2,About To Sleep
10209,144,3,913.94,3,2,2,2,Promising
10210,58,5,3055.37,4,3,3,3,Potential Loyalist
10211,197,1,1201.97,2,1,2,2,About To Sleep
10212,11,5,9478.26,5,3,5,4,Champions
10213,43,1,1340.0,4,1,2,2,Recent Users
10214,26,5,5160.29,5,3,4,4,Champions
10215,127,3,5787.42,3,2,4,3,Needs Attention
10216,50,5,7961.33,4,3,5,4,Champions
10217,122,3,6360.4,3,2,5,4,Loyal Customers
10218,48,3,2918.89,4,2,3,2,Recent Users
10219,82,2,4989.88,3,1,4,2,Promising
10220,13,3,5041.39,5,2,4,3,Potential Loyalist
10221,15,6,7306.34,5,4,5,4,Champions
10222,261,2,1589.96,2,1,2,2,About To Sleep
10223,33,5,4944.89,4,3,4,4,Champions
10224,16,4,8824.82,5,3,5,4,Champions
10225,54,3,7476.85,4,2,5,4,Champions
10227,17,8,6539.200000000001,5,5,5,5,Champions
10229,74,6,4191.860000000001,4,4,4,4,Champions
10230,142,4,4861.38,3,3,4,4,Loyal Customers
10231,135,5,1359.97,3,3,2,2,Promising
10232,181,2,1573.99,3,1,2,2,Promising
10233,146,3,2403.88,3,2,3,2,Promising
10234,74,4,2416.86,4,3,3,3,Potential Loyalist
10235,52,5,6166.32,4,3,4,4,Champions
10236,157,3,2831.3500000000004,3,2,3,2,Promising
10237,23,9,11951.98,5,5,5,5,Champions
10238,164,2,597.95,3,1,1,1,Promising
10239,32,4,1772.3000000000002,4,3,2,2,Recent Users
10240,74,4,4499.34,4,3,4,4,Champions
10241,46,2,937.9000000000001,4,1,2,2,Recent Users
10242,88,6,5580.780000000001,3,4,4,4,Loyal Customers
10243,108,2,4241.93,3,1,4,2,Promising
10244,11,4,2871.94,5,3,3,3,Potential Loyalist
10245,115,7,10450.18,3,4,5,4,Loyal Customers
10246,37,5,7962.77,4,3,5,4,Champions
10247,190,4,1869.8700000000001,2,3,2,2,About To Sleep
10248,89,3,4327.82,3,2,4,3,Needs Attention
10249,118,4,1334.8700000000001,3,3,2,2,Promising
10250,1,7,4026.2000000000003,5,4,4,4,Champions
10251,28,4,2318.44,5,3,3,3,Potential Loyalist
10252,29,7,5183.82,5,4,4,4,Champions
10253,93,5,4149.83,3,3,4,4,Loyal Customers
10254,64,4,4996.88,4,3,4,4,Champions
10255,281,1,58.0,2,1,1,1,About To Sleep
10256,5,5,6361.21,5,3,5,4,Champions
10257,121,2,3435.46,3,1,3,2,Promising
10258,83,4,6244.31,3,3,4,4,Loyal Customers
10259,301,1,412.97,2,1,1,1,About To Sleep
10260,12,8,11312.220000000001,5,5,5,5,Champions
10261,112,6,4352.81,3,4,4,4,Loyal Customers
10262,104,3,2681.37,3,2,3,2,Promising
10263,77,8,10572.74,4,5,5,5,Champions
10264,50,3,2537.91,4,2,3,2,Recent Users
10265,349,2,2325.9700000000003,2,1,3,2,About To Sleep
10266,120,4,2411.38,3,3,3,3,Needs Attention
10267,130,5,3825.94,3,3,3,3,Needs Attention
10268,15,5,2846.29,5,3,3,3,Potential Loyalist
10269,132,5,4238.92,3,3,4,4,Loyal Customers
10270,19,4,1524.91,5,3,2,2,Recent Users
10271,5,3,3625.8100000000004,5,2,3,2,Recent Users
10272,106,4,1216.8700000000001,3,3,2,2,Promising
10273,83,5,5110.81,3,3,4,4,Loyal Customers
10274,117,5,5179.360000000001,3,3,4,4,Loyal Customers
10275,68,6,9650.34,4,4,5,4,Champions
10276,2,5,7172.77,5,3,5,4,Champions
10277,121,3,1268.95,3,2,2,2,Promising
10278,24,7,13162.7,5,4,5,4,Champions
10279,91,3,2337.38,3,2,3,2,Promising
10280,9,5,3482.38,5,3,3,3,Potential Loyalist
10281,72,5,3999.91,4,3,3,3,Potential Loyalist
10282,76,3,2336.44,4,2,3,2,Recent Users
10283,69,6,9540.65,4,4,5,4,Champions
10284,38,5,4343.9400000000005,4,3,4,4,Champions
10285,8,9,5085.82,5,5,4,4,Champions
10286,36,5,5404.82,4,3,4,4,Champions
10287,62,3,2781.3900000000003,4,2,3,2,Recent Users
10288,14,5,5882.91,5,3,4,4,Champions
10289,163,3,4875.39,3,2,4,3,Needs Attention
10290,50,4,4799.81,4,3,4,4,Champions
10291,18,8,4987.77,5,5,4,4,Champions
10292,81,3,3497.9300000000003,3,2,3,2,Promising
10293,106,5,5520.33,3,3,4,4,Loyal Customers
10294,35,5,9597.19,4,3,5,4,Champions
10295,111,4,1925.92,3,3,2,2,Promising
10296,72,4,1611.8500000000001,4,3,2,2,Recent Users
10297,37,3,1097.89,4,2,2,2,Recent Users
10298,8,6,2577.78,5,4,3,4,Champions
10299,25,5,5987.82,5,3,4,4,Champions
10300,38,4,3924.93,4,3,3,3,Potential Loyalist
10301,64,4,7099.85,4,3,5,4,Champions
10302,14,4,3619.45,5,3,3,3,Potential Loyalist
10303,8,4,3685.86,5,3,3,3,Potential Loyalist
10304,122,3,872.9300000000001,3,2,2,2,Promising
10305,48,5,8482.87,4,3,5,4,Champions
10306,165,2,1102.42,3,1,2,2,Promising
10307,334,3,5608.93,2,2,4,3,Hibernating
10308,62,3,3352.35,4,2,3,2,Recent Users
10309,59,4,4191.45,4,3,4,4,Champions
10310,65,3,4748.9400000000005,4,2,4,3,Potential Loyalist
10311,128,4,3960.36,3,3,3,3,Needs Attention
10312,34,8,5033.24,4,5,4,4,Champions
10313,62,3,1564.3400000000001,4,2,2,2,Recent Users
10314,21,3,2711.7700000000004,5,2,3,2,Recent Users
10315,149,4,5585.87,3,3,4,4,Loyal Customers
10316,13,4,6659.3,5,3,5,4,Champions
10317,50,6,7367.83,4,4,5,4,Champions
10318,36,3,5216.88,4,2,4,3,Potential Loyalist
10319,262,1,2182.95,2,1,3,2,About To Sleep
10320,28,5,4220.32,5,3,4,4,Champions
10321,52,5,8616.77,4,3,5,4,Champions
10322,20,5,2422.8100000000004,5,3,3,3,Potential Loyalist
10324,93,3,1832.39,3,2,2,2,Promising
10325,83,1,220.0,3,1,1,1,Promising
10326,28,5,7282.87,5,3,5,4,Champions
10327,68,5,6087.35,4,3,4,4,Champions
10328,39,7,12808.7,4,4,5,4,Champions
10329,143,2,1610.42,3,1,2,2,Promising
10330,133,3,2594.45,3,2,3,2,Promising
10331,40,7,5747.780000000001,4,4,4,4,Champions
10333,5,6,4370.75,5,4,4,4,Champions
10334,113,4,2688.91,3,3,3,3,Needs Attention
10335,53,6,8471.9,4,4,5,4,Champions
10336,81,6,1933.3700000000001,3,4,2,3,Needs Attention
10337,104,2,2921.94,3,1,3,2,Promising
10338,26,7,3355.82,5,4,3,4,Champions
10339,18,6,8735.66,5,4,5,4,Champions
10340,73,3,1732.43,4,2,2,2,Recent Users
10341,179,4,4278.86,3,3,4,4,Loyal Customers
10342,34,8,11692.16,4,5,5,5,Champions
10343,46,4,5120.33,4,3,4,4,Champions
10344,147,1,502.44000000000005,3,1,1,1,Promising
10345,7,8,9764.61,5,5,5,5,Champions
10346,107,5,3706.28,3,3,3,3,Needs Attention
10347,67,6,7425.81,4,4,5,4,Champions
10348,29,3,2695.87,5,2,3,2,Recent Users
10349,153,2,379.95000000000005,3,1,1,1,Promising
10350,65,4,4114.4,4,3,4,4,Champions
10351,218,2,1606.48,2,1,2,2,About To Sleep
10352,30,2,2301.83,5,1,3,2,Recent Users
10353,43,7,10132.19,4,4,5,4,Champions
10354,56,5,5494.37,4,3,4,4,Champions
10355,56,8,8235.77,4,5,5,5,Champions
10356,65,4,2015.96,4,3,2,2,Recent Users
10357,80,3,5187.74,3,2,4,3,Needs Attention
10358,101,4,5147.42,3,3,4,4,Loyal Customers
10359,103,4,2849.88,3,3,3,3,Needs Attention
10360,97,4,2521.79,3,3,3,3,Needs Attention
10361,93,3,1701.91,3,2,2,2,Promising
10362,104,1,267.96000000000004,3,1,1,1,Promising
10363,96,3,5477.39,3,2,4,3,Needs Attention
10364,53,3,4373.85,4,2,4,3,Potential Loyalist
10365,165,5,5203.29,3,3,4,4,Loyal Customers
10366,121,3,5918.4400000000005,3,2,4,3,Needs Attention
10367,72,5,4748.860000000001,4,3,4,4,Champions
10368,211,4,827.8900000000001,2,3,2,2,About To Sleep
10369,132,4,3412.87,3,3,3,3,Needs Attention
10370,277,3,1165.93,2,2,2,2,About To Sleep
10371,201,3,4566.93,2,2,4,3,Hibernating
10372,79,6,6691.84,3,4,5,4,Loyal Customers
10373,30,7,6174.87,5,4,4,4,Champions
10374,106,4,3567.32,3,3,3,3,Needs Attention
10375,36,6,9059.720000000001,4,4,5,4,Champions
10376,219,2,197.98000000000002,2,1,1,1,About To Sleep
10377,117,6,5745.79,3,4,4,4,Loyal Customers
10378,46,3,4958.93,4,2,4,3,Potential Loyalist
10379,23,4,1082.3600000000001,5,3,2,2,Recent Users
10380,207,1,279.99,2,1,1,1,About To Sleep
10381,94,4,2508.84,3,3,3,3,Needs Attention
10382,6,3,2210.0,5,2,3,2,Recent Users
10383,217,1,281.97,2,1,1,1,About To Sleep
10385,99,5,10023.31,3,3,5,4,Loyal Customers
10386,77,3,3946.86,4,2,3,2,Recent Users
10387,44,4,2797.84,4,3,3,3,Potential Loyalist
10388,171,4,2673.9700000000003,3,3,3,3,Needs Attention
10389,7,4,5448.32,5,3,4,4,Champions
10390,72,5,3950.9700000000003,4,3,3,3,Potential Loyalist
10391,109,2,546.9200000000001,3,1,1,1,Promising
10392,31,2,2631.96,5,1,3,2,Recent Users
10393,111,2,2097.8900000000003,3,1,2,2,Promising
10394,49,2,3393.94,4,1,3,2,Recent Users
10395,74,3,2449.88,4,2,3,2,Recent Users
10396,123,1,1428.0,3,1,2,2,Promising
10398,28,1,611.94,5,1,1,1,Price Sensitive
10399,9,5,7534.35,5,3,5,4,Champions
10400,115,3,4701.34,3,2,4,3,Needs Attention
10401,52,4,5178.85,4,3,4,4,Champions
10402,361,1,267.96000000000004,2,1,1,1,About To Sleep
10403,7,3,819.9300000000001,5,2,2,2,Recent Users
10404,74,3,2531.34,4,2,3,2,Recent Users
10405,185,2,3897.94,3,1,3,2,Promising
10406,202,4,5839.27,2,3,4,4,Can't Lose Them
10407,43,2,389.99,4,1,1,1,Price Sensitive
10408,39,3,1558.45,4,2,2,2,Recent Users
10409,23,6,6305.31,5,4,4,4,Champions
10410,1,5,3826.7700000000004,5,3,3,3,Potential Loyalist
10411,2,8,9425.12,5,5,5,5,Champions
10412,39,4,2767.46,4,3,3,3,Potential Loyalist
10413,48,4,3727.3,4,3,3,3,Potential Loyalist
10414,26,5,6159.39,5,3,4,4,Champions
10415,78,6,4872.8,4,4,4,4,Champions
10416,24,5,3441.78,5,3,3,3,Potential Loyalist
10417,79,6,4200.28,3,4,4,4,Loyal Customers
10418,19,2,829.96,5,1,2,2,Recent Users
10419,66,2,1904.94,4,1,2,2,Recent Users
10420,69,9,10366.57,4,5,5,5,Champions
10421,50,3,1061.4,4,2,2,2,Recent Users
10422,11,5,4202.3,5,3,4,4,Champions
10423,46,1,365.99,4,1,1,1,Price Sensitive
10424,233,3,2670.8900000000003,2,2,3,2,About To Sleep
10425,22,5,6781.86,5,3,5,4,Champions
10426,145,3,2311.9300000000003,3,2,3,2,Promising
10427,30,4,3000.82,5,3,3,3,Potential Loyalist
10428,56,6,5092.38,4,4,4,4,Champions
10429,19,6,3427.29,5,4,3,4,Champions
10430,105,3,7719.77,3,2,5,4,Loyal Customers
10431,4,3,1975.45,5,2,2,2,Recent Users
10432,167,1,648.45,3,1,1,1,Promising
10433,43,7,5504.29,4,4,4,4,Champions
10434,42,5,2577.37,4,3,3,3,Potential Loyalist
10435,46,4,2237.27,4,3,3,3,Potential Loyalist
10436,112,2,935.9000000000001,3,1,2,2,Promising
10437,13,9,5365.82,5,5,4,4,Champions
10438,4,2,1823.44,5,1,2,2,Recent Users
10439,52,6,3839.15,4,4,3,4,Champions
10440,56,8,3745.33,4,5,3,4,Champions
10441,30,2,2333.42,5,1,3,2,Recent Users
10442,162,2,577.94,3,1,1,1,Promising
10443,15,7,7316.81,5,4,5,4,Champions
10444,277,2,839.4000000000001,2,1,2,2,About To Sleep
10445,27,4,3109.8,5,3,3,3,Potential Loyalist
10446,45,5,7121.32,4,3,5,4,Champions
10447,126,3,6586.37,3,2,5,4,Loyal Customers
10448,187,2,765.95,3,1,2,2,Promising
10449,41,4,5778.35,4,3,4,4,Champions
10450,177,2,1301.96,3,1,2,2,Promising
10451,32,5,1724.3600000000001,4,3,2,2,Recent Users
10452,38,6,5209.76,4,4,4,4,Champions
10453,108,9,7413.780000000001,3,5,5,5,Loyal Customers
10454,93,8,7809.74,3,5,5,5,Loyal Customers
10455,104,1,428.97,3,1,1,1,Promising
10456,40,6,6390.32,4,4,5,4,Champions
10457,29,4,3136.36,5,3,3,3,Potential Loyalist
10458,12,8,12537.65,5,5,5,5,Champions
10459,17,7,7071.83,5,4,5,4,Champions
10460,32,10,11632.7,4,5,5,5,Champions
10461,51,3,950.94,4,2,2,2,Recent Users
10462,31,3,1976.3200000000002,5,2,2,2,Recent Users
10463,279,1,320.96000000000004,2,1,1,1,About To Sleep
10464,122,3,2306.39,3,2,3,2,Promising
10465,77,6,3593.25,4,4,3,4,Champions
10466,33,5,5697.83,4,3,4,4,Champions
10467,205,1,839.97,2,1,2,2,About To Sleep
10468,127,7,5432.35,3,4,4,4,Loyal Customers
10469,108,5,5065.31,3,3,4,4,Loyal Customers
10470,81,5,6637.88,3,3,5,4,Loyal Customers
10471,89,5,3734.28,3,3,3,3,Needs Attention
10472,129,4,4365.4400000000005,3,3,4,4,Loyal Customers
10473,150,3,2676.45,3,2,3,2,Promising
10474,93,2,3257.4,3,1,3,2,Promising
10475,85,5,8999.32,3,3,5,4,Loyal Customers
10476,199,3,2850.3900000000003,2,2,3,2,About To Sleep
10477,48,3,1463.9,4,2,2,2,Recent Users
10478,122,6,5766.42,3,4,4,4,Loyal Customers
10479,34,5,6171.3099999999995,4,3,4,4,Champions
10480,26,4,1621.3400000000001,5,3,2,2,Recent Users
10481,176,2,499.99,3,1,1,1,Promising
10482,88,3,4664.360000000001,3,2,4,3,Needs Attention
10483,329,2,2760.95,2,1,3,2,About To Sleep
10484,44,3,2364.85,4,2,3,2,Recent Users
10485,115,3,4999.95,3,2,4,3,Needs Attention
10486,27,5,3010.78,5,3,3,3,Potential Loyalist
10487,81,6,4276.84,3,4,4,4,Loyal Customers
10488,34,1,449.96000000000004,4,1,1,1,Price Sensitive
10489,15,8,7748.78,5,5,5,5,Champions
10490,46,2,1251.88,4,1,2,2,Recent Users
10491,253,4,4350.35,2,3,4,4,Can't Lose Them
10492,46,5,7769.280000000001,4,3,5,4,Champions
10493,47,3,1737.42,4,2,2,2,Recent Users
10494,35,6,5405.32,4,4,4,4,Champions
10495,206,1,819.95,2,1,2,2,About To Sleep
10496,23,5,7619.31,5,3,5,4,Champions
10497,36,5,4229.42,4,3,4,4,Champions
10498,95,3,2927.92,3,2,3,2,Promising
10499,170,5,7913.21,3,3,5,4,Loyal Customers
10500,46,4,5280.32,4,3,4,4,Champions
10501,94,4,2905.84,3,3,3,3,Needs Attention
10502,126,3,3186.9700000000003,3,2,3,2,Promising
10503,60,2,1457.94,4,1,2,2,Recent Users
10504,13,7,3697.38,5,4,3,4,Champions
10505,50,6,2505.26,4,4,3,4,Champions
10506,196,1,1261.98,2,1,2,2,About To Sleep
10507,59,6,7535.22,4,4,5,4,Champions
10508,42,5,5867.81,4,3,4,4,Champions
10509,98,4,3861.82,3,3,3,3,Needs Attention
10510,35,7,8829.28,4,4,5,4,Champions
10511,85,3,1722.93,3,2,2,2,Promising
10512,32,5,1191.9,4,3,2,2,Recent Users
10513,12,3,4333.35,5,2,4,3,Potential Loyalist
10514,5,4,2112.84,5,3,2,2,Recent Users
10515,83,8,10384.86,3,5,5,5,Loyal Customers
10516,316,3,1046.46,2,2,2,2,About To Sleep
10517,48,2,3629.98,4,1,3,2,Recent Users
10518,129,2,5966.42,3,1,4,2,Promising
10519,89,1,890.0,3,1,2,2,Promising
10520,315,1,1910.0,2,1,2,2,About To Sleep
10521,150,2,3949.92,3,1,3,2,Promising
10522,261,1,657.9300000000001,2,1,1,1,About To Sleep
10523,108,5,3835.81,3,3,3,3,Needs Attention
10524,95,5,2858.48,3,3,3,3,Needs Attention
10525,84,3,2532.44,3,2,3,2,Promising
10526,1,4,2952.78,5,3,3,3,Potential Loyalist
10527,37,5,4158.26,4,3,4,4,Champions
10528,154,3,2983.91,3,2,3,2,Promising
10529,1,4,2517.4,5,3,3,3,Potential Loyalist
10530,86,3,1994.8700000000001,3,2,2,2,Promising
10531,35,3,1874.38,4,2,2,2,Recent Users
10532,9,10,16197.27,5,5,5,5,Champions
10533,49,5,4535.9400000000005,4,3,4,4,Champions
10534,62,3,856.9200000000001,4,2,2,2,Recent Users
10535,21,4,4944.32,5,3,4,4,Champions
